iter	Passed	Remaining
589	1718	27416
590	1722	27420
591	1725	27421
592	1728	27421
593	1731	27423
594	1734	27423
595	1738	27424
596	1741	27424
597	1744	27424
598	1747	27427
599	1750	27429
600	1754	27432
601	1757	27433
602	1760	27435
603	1763	27438
604	1767	27443
605	1770	27447
606	1773	27450
607	1777	27454
608	1780	27456
609	1783	27457
610	1787	27461
611	1790	27462
612	1793	27463
613	1796	27459
614	1799	27456
615	1802	27454
616	1805	27451
617	1808	27448
618	1810	27445
619	1813	27440
620	1816	27438
621	1819	27435
622	1822	27432
623	1825	27429
624	1828	27424
625	1831	27422
626	1834	27418
627	1837	27416
628	1840	27416
629	1843	27411
630	1846	27409
631	1848	27404
632	1851	27399
633	1854	27395
634	1857	27392
635	1860	27395
636	1863	27397
637	1867	27396
638	1870	27396
639	1873	27399
640	1876	27400
641	1879	27400
642	1882	27400
643	1886	27402
644	1889	27402
645	1892	27404
646	1895	27403
647	1898	27405
648	1902	27405
649	1905	27407
650	1908	27409
651	1911	27410
652	1915	27411
653	1918	27413
654	1921	27414
655	1924	27417
656	1927	27417
657	1931	27417
658	1934	27417
659	1937	27417
660	1940	27418
661	1943	27418
662	1946	27418
663	1950	27419
664	1953	27418
665	1956	27418
666	1959	27418
667	1962	27417
668	1965	27418
669	1968	27417
670	1972	27419
671	1975	27421
672	1978	27422
673	1981	27421
674	1984	27418
675	1987	27416
676	1990	27412
677	1993	27409
678	1996	27407
679	1999	27403
680	2002	27399
681	2005	27396
682	2007	27391
683	2010	27389
684	2014	27389
685	2017	27390
686	2020	27389
687	2023	27389
688	2026	27391
689	2030	27391
690	2033	27391
691	2036	27391
692	2039	27392
693	2042	27392
694	2046	27394
695	2049	27396
696	2052	27395
697	2055	27395
698	2058	27396
699	2062	27396
700	2065	27397
701	2068	27398
702	2071	27398
703	2074	27397
704	2077	27394
705	2080	27389
706	2083	27386
707	2086	27383
708	2089	27381
709	2092	27377
710	2095	27373
711	2098	27369
712	2100	27364
713	2103	27358
714	2106	27353
715	2109	27349
716	2112	27345
717	2114	27340
718	2117	27335
719	2120	27330
720	2123	27325
721	2126	27320
722	2128	27315
723	2131	27309
724	2134	27305
725	2137	27301
726	2139	27295
727	2142	27290
728	2145	27285
729	2148	27280
730	2151	27276
731	2153	27271
732	2156	27265
733	2159	27260
734	2162	27255
735	2165	27252
736	2167	27248
737	2170	27243
738	2173	27238
739	2176	27233
740	2179	27230
741	2182	27227
742	2184	27221
743	2187	27216
744	2190	27213
745	2193	27211
746	2196	27209
747	2199	27209
748	2202	27207
749	2205	27204
750	2208	27202
751	2211	27198
752	2214	27195
753	2217	27192
754	2220	27188
755	2223	27184
756	2226	27179
757	2228	27176
758	2231	27171
759	2234	27167
760	2237	27164
761	2240	27158
762	2242	27154
763	2245	27150
764	2248	27146
765	2251	27142
766	2254	27138
767	2257	27134
768	2260	27132
769	2263	27129
770	2266	27125
771	2268	27120
772	2271	27117
773	2274	27113
774	2277	27110
775	2280	27107
776	2283	27103
777	2286	27100
778	2289	27095
779	2292	27092
780	2295	27090
781	2297	27086
782	2300	27081
783	2303	27077
784	2306	27074
785	2309	27071
786	2312	27069
787	2315	27065
788	2318	27062
789	2321	27060
790	2324	27058
791	2327	27054
792	2329	27050
793	2332	27046
794	2335	27042
795	2338	27040
796	2341	27036
797	2344	27033
798	2347	27029
799	2350	27025
800	2352	27022
801	2355	27018
802	2358	27016
803	2361	27013
804	2364	27009
805	2367	27006
806	2370	27002
807	2373	26997
808	2375	26992
809	2378	26989
810	2381	26987
811	2384	26985
812	2387	26980
813	2390	26975
814	2393	26970
815	2395	26966
816	2398	26961
817	2401	26959
818	2404	26956
819	2407	26951
820	2410	26946
821	2413	26943
822	2415	26939
823	2418	26934
824	2421	26932
825	2424	26929
